ID,NAME,TEAM,POS,AGE,GP,MPG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PPG,RPG,APG,SPG,BPG,TPG,P+R,P+A,P+R+A,VI,ORtg,DRtg
10,A.J. Lawson,Dal,G,23.9,8,2.4,18.5,0,2,0.5,1,1,6,0.333,0.571,0.571,1.1,0.4,0,0,0.1,0,1.5,1.1,1.5,0,0,0
11,Al Horford,Bos,C-F,38,16,30.2,13.2,6.7,9,0.667,39,0.744,86,0.349,0.592,0.597,9.6,7.3,2,0.6,0.9,0.6,16.9,11.6,18.9,6.9,129.6,109.4
12,Daniel Gafford,Dal,F-C,25.7,19,21.5,17.4,13.7,59,0.61,113,0.628,0,0,0.628,0.64,9.4,5.9,0.7,0.3,1.6,0.9,15.3,10.1,16,6.3,124.1,108.8
13,Dante Exum,Dal,G,28.9,18,6.6,15.6,10.2,4,0.75,20,0.3,15,0.267,0.343,0.367,1.5,0.8,0.7,0.1,0.1,0.2,2.3,2.2,3,5.7,88.2,113.9
14,Dereck Lively II,Dal,C,20.3,18,21.4,14.9,19.6,56,0.589,82,0.659,0,0,0.659,0.661,7.8,7.1,1.4,0.3,1.1,1.1,14.9,9.3,16.3,8,128.9,104.8
15,Derrick Jones Jr.,Dal,F,27.3,19,31.2,13.5,11,28,0.75,88,0.545,58,0.379,0.555,0.578,9.6,3.7,1.4,0.5,1,0.9,13.4,11,14.7,4.7,116.8,111.9
16,Derrick White,Bos,G,29.9,16,35.4,19.7,5.7,32,0.906,77,0.571,136,0.404,0.594,0.621,17.6,4,4.4,1,1.3,0.8,21.6,22.1,26.1,7.6,132.5,108.8
17,Dwight Powell,Dal,F-C,32.9,11,3.1,10.2,37.8,6,0.667,3,0.333,0,0,0.333,0.532,0.5,0.7,0.1,0.1,0,0.2,1.3,0.6,1.4,4.2,0,0
18,Jaden Hardy,Dal,G,21.9,16,6.8,29.8,9,13,0.769,35,0.457,25,0.4,0.517,0.548,4.5,0.8,0.8,0.2,0,0.4,5.3,5.3,6.1,8.4,109.3,108.7
19,Jaden Springer,Bos,G,21.7,3,4.7,13.2,50,0,0,2,1,0,0,1,1,1.3,0.3,0.3,0,0.3,0.7,1.7,1.7,2,4.2,89.5,110.5
20,Jaylen Brown,Bos,F,27.6,16,37.1,28.5,13.7,88,0.636,195,0.626,87,0.356,0.598,0.613,24.6,6,2.9,1.3,0.7,2.8,30.6,27.4,33.4,8.1,112.5,107.1
21,Jayson Tatum,Bos,F,26.3,16,40.9,28.8,12.1,118,0.839,198,0.505,114,0.289,0.479,0.547,24.9,10.3,6.3,1,0.7,2.7,35.2,31.1,41.4,11.5,113.8,104.7
22,Jordan Walsh,Bos,G,20.3,2,3,7.8,0,0,0,1,1,0,0,1,1,1,0.5,0,0,0,0,1.5,1,1.5,0,0,0
23,Josh Green,Dal,G,23.6,19,17.7,11.7,8.7,16,0.813,21,0.524,52,0.346,0.521,0.556,4.7,2.4,1.1,0.8,0.2,0.4,7.1,5.7,8.2,5.2,121,110.7
24,Jrue Holiday,Bos,G,34,16,37.9,14.6,12.1,22,0.955,83,0.614,77,0.403,0.609,0.636,13.5,6.1,4.5,1.3,0.6,1.4,19.6,18,24.1,7.6,131.8,109.5
25,Kristaps Porzingis,Bos,C,28.9,6,24.8,21.7,8.1,20,0.95,29,0.552,27,0.37,0.554,0.625,13.5,5,1.3,0.8,1.8,0.8,18.5,14.8,19.8,7.2,125.6,103.6
26,Kyrie Irving,Dal,G,32.2,19,40.1,24.5,12.3,66,0.833,221,0.511,115,0.391,0.537,0.57,21.9,3.7,5.1,1.2,0.4,2.5,25.6,26.9,30.7,7.4,112.4,112.6
27,Luka Doncic,Dal,G,25.3,19,41.4,32.6,15.6,137,0.774,239,0.523,187,0.348,0.522,0.567,29,9.7,8.5,1.8,0.4,4.2,38.7,37.5,47.3,12.9,111.3,109.3
28,Luke Kornet,Bos,C-F,28.9,11,11,12.1,22.8,13,0.846,20,0.7,0,0,0.7,0.758,3.5,3.6,0.5,0.1,0.5,0.5,7.2,4,7.6,6.7,143.7,105.6
29,Maxi Kleber,Dal,C,32.4,10,17.4,10.1,13.4,4,0.5,8,0.375,24,0.458,0.609,0.607,4.1,2,1.1,0.2,0.4,0.5,6.1,5.2,7.2,4.8,117,109.4
30,Neemias Queta,Bos,C,24.9,2,4,11.7,0,0,0,2,0.5,0,0,0.5,0.5,1,1.5,0,0,0,0,2.5,1,2.5,0,124.4,113.2
31,Olivier-Maxence Prosper,Dal,F,21.9,1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Oshae Brissett,Bos,F-G,26,8,4.9,10.5,12.5,2,0,6,0.5,1,1,0.643,0.571,1.1,1.4,0,0.4,0.1,0.1,2.5,1.1,2.5,0,106,103.5
33,P.J. Washington,Dal,F,25.8,19,36.7,16.8,10.1,49,0.714,93,0.548,121,0.347,0.533,0.558,13.8,6.8,1.4,0.8,0.8,1.3,20.6,15.2,22,5.5,111.1,109.9
34,Payton Pritchard,Bos,G,26.4,16,20.1,14.9,12.2,12,0.917,35,0.486,51,0.412,0.564,0.592,6.8,2.1,2.3,0.3,0,0.8,8.8,9,11.1,6.4,124.4,111.9
35,Sam Hauser,Bos,F,26.5,16,14.5,14.1,4.3,4,1,11,0.636,55,0.327,0.515,0.531,4.5,1.9,0.6,0.3,0.2,0.2,6.4,5.1,7,4.8,111.9,108.4
