case_id,activity_id,activity_instance_id,lifecycle_id,timestamp,resource_id,order,outcome,quarter,shot_type,shot_distance_by_foot,shot_points,score_board
play_1,dribble,1,complete,2024-06-14T20:00:00Z,5,1,1,1,NA,NA,NA,0
play_1,pass,2,complete,2024-06-14T20:00:05Z,5,2,0,1,NA,NA,NA,0
play_1,pass,3,complete,2024-06-14T20:00:06Z,3,3,1,1,NA,NA,NA,0
play_1,dribble,4,complete,2024-06-14T20:00:10Z,4,4,1,1,NA,NA,NA,0
play_1,pass,5,complete,2024-06-14T20:00:12Z,4,5,1,1,NA,NA,NA,0
play_1,dribble,6,complete,2024-06-14T20:00:14Z,3,6,1,1,NA,NA,NA,0
play_1,pass,7,complete,2024-06-14T20:00:14Z,3,7,1,1,NA,NA,NA,0
play_1,dribble,8,complete,2024-06-14T20:00:15Z,6,8,1,1,NA,NA,NA,0
play_1,shot,9,complete,2024-06-14T20:00:20Z,6,9,1,1,driving layup,1,2,2
play_2,pass,10,complete,2024-06-14T20:00:20Z,31,10,1,1,NA,NA,NA,2
play_2,dribble,11,complete,2024-06-14T20:00:22Z,19,11,1,1,NA,NA,NA,2
play_2,pass,12,complete,2024-06-14T20:00:32Z,19,12,1,1,NA,NA,NA,2
play_2,dribble,13,complete,2024-06-14T20:00:33Z,21,13,1,1,NA,NA,NA,2
play_2,shot,14,complete,2024-06-14T20:00:37Z,21,14,0,1,step back jumpshot,27,3,2
play_3,defensive-rebound,15,complete,2024-06-14T20:00:38Z,3,15,1,1,NA,NA,NA,2
play_3,pass,16,complete,2024-06-14T20:00:39Z,3,16,1,1,NA,NA,NA,2
play_3,dribble,17,complete,2024-06-14T20:00:40Z,4,17,1,1,NA,NA,NA,2
play_3,pass,18,complete,2024-06-14T20:00:42Z,4,18,1,1,NA,NA,NA,2
play_3,dribble,19,complete,2024-06-14T20:00:43Z,5,19,1,1,NA,NA,NA,2
play_3,foul,20,complete,2024-06-14T20:00:44Z,21,20,1,1,NA,NA,NA,2
play_3,pass,21,complete,2024-06-14T20:00:44Z,3,21,1,1,NA,NA,NA,2
play_3,dribble,22,complete,2024-06-14T20:00:45Z,5,22,1,1,NA,NA,NA,2
play_3,pass,23,complete,2024-06-14T20:00:47Z,5,23,1,1,NA,NA,NA,2
play_3,pass,24,complete,2024-06-14T20:00:48Z,7,24,1,1,NA,NA,NA,2
play_3,dribble,25,complete,2024-06-14T20:00:49Z,5,25,1,1,NA,NA,NA,2
play_3,shot,26,complete,2024-06-14T20:00:55Z,5,26,0,1,pull up jumpshot,31,3,2
play_4,defensive-rebound,27,complete,2024-06-14T20:00:57Z,21,27,1,1,NA,NA,NA,2
play_4,dribble,28,complete,2024-06-14T20:00:58Z,21,28,0,1,NA,NA,NA,2
play_4,steal,29,complete,2024-06-14T20:01:03Z,4,29,1,1,NA,NA,NA,2
play_4,pass,30,complete,2024-06-14T20:01:03Z,4,30,1,1,NA,NA,NA,2
play_4,pass,31,complete,2024-06-14T20:01:04Z,7,31,1,1,NA,NA,NA,2
play_4,dribble,32,complete,2024-06-14T20:01:05Z,5,32,1,1,NA,NA,NA,2
play_4,pass,33,complete,2024-06-14T20:01:08Z,5,33,1,1,NA,NA,NA,2
play_4,dribble,34,complete,2024-06-14T20:01:11Z,3,34,1,1,NA,NA,NA,2
play_4,shot,35,complete,2024-06-14T20:01:14Z,3,35,0,1,driving floating bank jump shot,9,2,2
play_5,pass,36,complete,2024-06-14T20:01:15Z,3,36,1,1,NA,NA,NA,2
play_5,shot,37,complete,2024-06-14T20:01:17Z,5,37,0,1,jump shot,25,3,2
