resource_id,number,player,pos,ht,wt,birth_date,country_code,experience,college,team_name
1,11,Payton Pritchard,PG,6-1,195,"January 28, 1998",us,3,Oregon,Boston Celtics
2,30,Sam Hauser,SF,6-8,215,"December 8, 1997",us,2,"Marquette, Virginia",Boston Celtics
3,0,Jayson Tatum,PF,6-8,210,"March 3, 1998",us,6,Duke,Boston Celtics
4,9,Derrick White,SG,6-4,190,"July 2, 1994",us,6,"Colorado-Colorado Springs, Colorado",Boston Celtics
5,7,Jaylen Brown,SF,6-6,223,"October 24, 1996",us,7,California,Boston Celtics
6,4,Jrue Holiday,PG,6-4,205,"June 12, 1990",us,14,UCLA,Boston Celtics
7,42,Al Horford,C,6-9,240,"June 3, 1986",do,16,Florida,Boston Celtics
8,40,Luke Kornet,C,7-2,250,"July 15, 1995",us,6,Vanderbilt,Boston Celtics
9,8,Kristaps Porziņģis,C,7-2,240,"August 2, 1995",lv,7,,Boston Celtics
10,12,Oshae Brissett,SF,6-7,210,"June 20, 1998",ca,4,Syracuse,Boston Celtics
11,50,Svi Mykhailiuk,SF,6-7,205,"June 10, 1997",ua,5,Kansas,Boston Celtics
12,88,Neemias Queta,C,7-0,245,"July 13, 1999",pt,2,Utah State University,Boston Celtics
13,26,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",us,3,Michigan State,Boston Celtics
14,44,Jaden Springer,PG,6-4,204,"September 25, 2002",us,2,Tennessee,Boston Celtics
15,27,Jordan Walsh,SF,6-7,205,"March 3, 2004",us,R,Arkansas,Boston Celtics
16,20,JD Davison  (TW),SG,6-1,195,"October 3, 2002",us,1,Alabama,Boston Celtics
17,13,Drew Peterson  (TW),PF,6-9,205,"November 9, 1999",us,R,"Rice University, USC",Boston Celtics
18,10,Tim Hardaway Jr.,SF,6-5,205,"March 16, 1992",us,10,Michigan,Dallas Mavericks
19,55,Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",us,7,UNLV,Dallas Mavericks
20,1,Jaden Hardy,SG,6-4,198,"July 5, 2002",us,1,,Dallas Mavericks
21,77,Luka Dončić,PG,6-7,230,"February 28, 1999",si,5,,Dallas Mavericks
22,7,Dwight Powell,C,6-10,240,"July 20, 1991",ca,9,Stanford,Dallas Mavericks
23,11,Kyrie Irving,SG,6-2,195,"March 23, 1992",au,12,Duke,Dallas Mavericks
24,8,Josh Green,SG,6-5,200,"November 16, 2000",au,3,Arizona,Dallas Mavericks
25,2,Dereck Lively II,C,7-1,230,"February 12, 2004",us,R,Duke,Dallas Mavericks
26,0,Dante Exum,PG,6-5,214,"July 13, 1995",au,6,,Dallas Mavericks
27,42,Maxi Kleber,C,6-10,240,"January 29, 1992",de,6,,Dallas Mavericks
28,9,A.J. Lawson,SG,6-6,179,"July 15, 2000",ca,1,South Carolina,Dallas Mavericks
29,18,Olivier-Maxence Prosper,PF,6-8,230,"July 3, 2002",ca,R,"Clemson, Marquette",Dallas Mavericks
30,25,P.J. Washington,PF,6-7,230,"August 23, 1998",us,4,Kentucky,Dallas Mavericks
31,21,Daniel Gafford,PF,6-10,234,"October 1, 1998",us,4,Arkansas,Dallas Mavericks
32,88,Markieff Morris,PF,6-9,245,"September 2, 1989",us,12,Kansas,Dallas Mavericks
33,0,Brandon Williams  (TW),PG,6-2,190,"November 22, 1999",us,1,Arizona,Dallas Mavericks
34,13,Greg Brown III  (TW),PF,6-7,205,"September 1, 2001",us,2,Texas,Dallas Mavericks
35,3,Alex Fudge  (TW),SF,6-8,200,"May 6, 2003",us,R,"LSU, Florida",Dallas Mavericks
